"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10800,"Was@NO 08:00PM ET",47.750,"NO"
"PG","Stephen Curry",10700,"GS@Bos 07:30PM ET",53.228,"GS"
"PG","Russell Westbrook",10400,"OKC@Uta 09:00PM ET",55.393,"OKC"
"SF","Paul George",10200,"Mia@Ind 07:00PM ET",48.888,"Ind"
"SF","Kevin Durant",10100,"OKC@Uta 09:00PM ET",48.733,"OKC"
"SF","LeBron James",10000,"Cle@Orl 07:00PM ET",49.425,"Cle"
"C","Andre Drummond",9500,"Det@Phi 07:00PM ET",47.098,"Det"
"PG","John Wall",9100,"Was@NO 08:00PM ET",42.300,"Was"
"PG","Kyle Lowry",8900,"Mil@Tor 07:30PM ET",43.946,"Tor"
"PG","Damian Lillard",8800,"Por@Pho 09:30PM ET",43.196,"Por"
"SF","Kawhi Leonard",8600,"LAL@SA 09:30PM ET",40.679,"SA"
"SG","Eric Bledsoe",8300,"Por@Pho 09:30PM ET",40.932,"Pho"
"PF","Draymond Green",8200,"GS@Bos 07:30PM ET",39.022,"GS"
"PF","Kevin Love",8100,"Cle@Orl 07:00PM ET",38.619,"Cle"
"PF","Derrick Favors",7900,"OKC@Uta 09:00PM ET",36.632,"Uta"
"PG","Isaiah Thomas",7800,"GS@Bos 07:30PM ET",36.477,"Bos"
"PG","Brandon Knight",7700,"Por@Pho 09:30PM ET",38.554,"Pho"
"SF","Nicolas Batum",7500,"Cha@Mem 08:00PM ET",36.179,"Cha"
"C","Marc Gasol",7400,"Cha@Mem 08:00PM ET",34.054,"Mem"
"PG","Reggie Jackson",7300,"Det@Phi 07:00PM ET",35.435,"Det"
"PF","Chris Bosh",7200,"Mia@Ind 07:00PM ET",35.100,"Mia"
"SF","Robert Covington",7200,"Det@Phi 07:00PM ET",31.500,"Phi"
"SG","Bradley Beal",7200,"Was@NO 08:00PM ET",33.029,"Was"
"C","Greg Monroe",7100,"Mil@Tor 07:30PM ET",35.826,"Mil"
"SG","Dwyane Wade",7000,"Mia@Ind 07:00PM ET",32.342,"Mia"
"SG","DeMar DeRozan",7000,"Mil@Tor 07:30PM ET",34.533,"Tor"
"C","Nikola Vucevic",7000,"Cle@Orl 07:00PM ET",34.184,"Orl"
"PG","Kemba Walker",7000,"Cha@Mem 08:00PM ET",34.548,"Cha"
"SF","Gordon Hayward",7000,"OKC@Uta 09:00PM ET",32.288,"Uta"
"PG","Ricky Rubio",7000,"Min@Den 09:00PM ET",32.283,"Min"
"C","Karl-Anthony Towns",7000,"Min@Den 09:00PM ET",33.929,"Min"
"PF","LaMarcus Aldridge",6900,"LAL@SA 09:30PM ET",31.107,"SA"
"SF","Danilo Gallinari",6900,"Min@Den 09:00PM ET",31.977,"Den"
"SG","Tyreke Evans",6900,"Was@NO 08:00PM ET",30.250,"NO"
"C","Hassan Whiteside",6900,"Mia@Ind 07:00PM ET",35.725,"Mia"
"SG","C.J. McCollum",6900,"Por@Pho 09:30PM ET",32.793,"Por"
"SG","Klay Thompson",6800,"GS@Bos 07:30PM ET",29.750,"GS"
"PG","Kyrie Irving",6700,"Cle@Orl 07:00PM ET",0,"Cle"
"PG","Elfrid Payton",6700,"Cle@Orl 07:00PM ET",29.545,"Orl"
"SG","Andrew Wiggins",6700,"Min@Den 09:00PM ET",30.213,"Min"
"SG","Victor Oladipo",6600,"Cle@Orl 07:00PM ET",32.013,"Orl"
"SF","Giannis Antetokounmpo",6500,"Mil@Tor 07:30PM ET",30.864,"Mil"
"PG","Mike Conley",6400,"Cha@Mem 08:00PM ET",29.609,"Mem"
"C","Jared Sullinger",6400,"GS@Bos 07:30PM ET",30.205,"Bos"
"C","Jahlil Okafor",6400,"Det@Phi 07:00PM ET",31.163,"Phi"
"PF","Zach Randolph",6300,"Cha@Mem 08:00PM ET",28.444,"Mem"
"SF","Tobias Harris",6300,"Cle@Orl 07:00PM ET",30.614,"Orl"
"C","Al Jefferson",6200,"Cha@Mem 08:00PM ET",27.941,"Cha"
"SG","Will Barton",6200,"Min@Den 09:00PM ET",27.693,"Den"
"C","Rudy Gobert",6200,"OKC@Uta 09:00PM ET",31.536,"Uta"
"PF","Ryan Anderson",6100,"Was@NO 08:00PM ET",30.881,"NO"
"PG","Ish Smith",6100,"Was@NO 08:00PM ET",29.375,"NO"
"C","Tim Duncan",6000,"LAL@SA 09:30PM ET",29.024,"SA"
"C","Marcin Gortat",6000,"Was@NO 08:00PM ET",29.118,"Was"
"PF","Serge Ibaka",6000,"OKC@Uta 09:00PM ET",28.488,"OKC"
"SG","Avery Bradley",6000,"GS@Bos 07:30PM ET",26.475,"Bos"
"PF","Kenneth Faried",5900,"Min@Den 09:00PM ET",27.403,"Den"
"SF","Marcus Morris",5900,"Det@Phi 07:00PM ET",27.500,"Det"
"SF","Otto Porter",5900,"Was@NO 08:00PM ET",25.288,"Was"
"PF","Julius Randle",5900,"LAL@SA 09:30PM ET",29.284,"LAL"
"SG","Kobe Bryant",5800,"LAL@SA 09:30PM ET",27.829,"LAL"
"PF","Nerlens Noel",5800,"Det@Phi 07:00PM ET",25.917,"Phi"
"SF","C.J. Miles",5700,"Mia@Ind 07:00PM ET",24.971,"Ind"
"SF","Jae Crowder",5700,"GS@Bos 07:30PM ET",25.795,"Bos"
"PF","Marvin Williams",5600,"Cha@Mem 08:00PM ET",25.905,"Cha"
"SF","Harrison Barnes",5600,"GS@Bos 07:30PM ET",24.897,"GS"
"C","Jonas Valanciunas",5600,"Mil@Tor 07:30PM ET",26.714,"Tor"
"PG","Michael Carter-Williams",5600,"Mil@Tor 07:30PM ET",25.167,"Mil"
"PG","Emmanuel Mudiay",5600,"Min@Den 09:00PM ET",26.443,"Den"
"SF","DeMarre Carroll",5500,"Mil@Tor 07:30PM ET",24.847,"Tor"
"PG","George Hill",5500,"Mia@Ind 07:00PM ET",26.294,"Ind"
"SF","Wilson Chandler",5500,"Min@Den 09:00PM ET",0,"Den"
"SF","Evan Fournier",5500,"Cle@Orl 07:00PM ET",25.966,"Orl"
"SG","Monta Ellis",5400,"Mia@Ind 07:00PM ET",25.900,"Ind"
"SG","O.J. Mayo",5400,"Mil@Tor 07:30PM ET",21.333,"Mil"
"PG","Tony Parker",5300,"LAL@SA 09:30PM ET",24.207,"SA"
"SG","J.R. Smith",5300,"Cle@Orl 07:00PM ET",21.556,"Cle"
"SG","Jordan Clarkson",5300,"LAL@SA 09:30PM ET",24.841,"LAL"
"PF","Tristan Thompson",5300,"Cle@Orl 07:00PM ET",22.762,"Cle"
"SF","Andre Iguodala",5200,"GS@Bos 07:30PM ET",22.859,"GS"
"PF","Jon Leuer",5200,"Por@Pho 09:30PM ET",18.924,"Pho"
"PF","Ed Davis",5200,"Por@Pho 09:30PM ET",22.022,"Por"
"C","Mason Plumlee",5200,"Por@Pho 09:30PM ET",26.685,"Por"
