"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Paul George",10200,"Ind@Det 07:30PM ET",48.393,"Ind"
"C","Andre Drummond",9500,"Ind@Det 07:30PM ET",47.260,"Det"
"PF","Blake Griffin",9100,"LAC@Bkn 05:00PM ET",44.739,"LAC"
"PG","Chris Paul",8100,"LAC@Bkn 05:00PM ET",36.319,"LAC"
"PG","Isaiah Thomas",7700,"Bos@Cha 07:00PM ET",36.630,"Bos"
"SG","Nicolas Batum",7600,"Bos@Cha 07:00PM ET",35.920,"Cha"
"C","Brook Lopez",7500,"LAC@Bkn 05:00PM ET",37.068,"Bkn"
"PF","Thaddeus Young",7400,"LAC@Bkn 05:00PM ET",33.295,"Bkn"
"PG","Reggie Jackson",7300,"Ind@Det 07:30PM ET",35.302,"Det"
"C","DeAndre Jordan",7100,"LAC@Bkn 05:00PM ET",35.728,"LAC"
"PG","Kemba Walker",7000,"Bos@Cha 07:00PM ET",35.216,"Cha"
"C","Jared Sullinger",6400,"Bos@Cha 07:00PM ET",30.163,"Bos"
"PG","Jarrett Jack",6300,"LAC@Bkn 05:00PM ET",29.786,"Bkn"
"C","Al Jefferson",6200,"Bos@Cha 07:00PM ET",27.941,"Cha"
"SG","Avery Bradley",6000,"Bos@Cha 07:00PM ET",26.357,"Bos"
"SF","Marcus Morris",5900,"Ind@Det 07:30PM ET",28.042,"Det"
"SF","C.J. Miles",5700,"Ind@Det 07:30PM ET",25.222,"Ind"
"SF","Jae Crowder",5700,"Bos@Cha 07:00PM ET",26.076,"Bos"
"PF","Marvin Williams",5600,"Bos@Cha 07:00PM ET",25.545,"Cha"
"SG","Jamal Crawford",5500,"LAC@Bkn 05:00PM ET",19.652,"LAC"
"PG","George Hill",5500,"Ind@Det 07:30PM ET",25.931,"Ind"
"SF","Joe Johnson",5400,"LAC@Bkn 05:00PM ET",24.091,"Bkn"
"SG","Monta Ellis",5400,"Ind@Det 07:30PM ET",27.095,"Ind"
"C","Ian Mahinmi",5100,"Ind@Det 07:30PM ET",24.225,"Ind"
"SG","Rodney Stuckey",5000,"Ind@Det 07:30PM ET",20.094,"Ind"
"SG","Evan Turner",4900,"Bos@Cha 07:00PM ET",23.239,"Bos"
"PF","Ersan Ilyasova",4800,"Ind@Det 07:30PM ET",20.313,"Det"
"PF","Amir Johnson",4700,"Bos@Cha 07:00PM ET",21.054,"Bos"
"PF","Jordan Hill",4700,"Ind@Det 07:30PM ET",22.132,"Ind"
"PF","Cody Zeller",4700,"Bos@Cha 07:00PM ET",17.500,"Cha"
"PG","Shane Larkin",4700,"LAC@Bkn 05:00PM ET",18.659,"Bkn"
"PG","Marcus Smart",4700,"Bos@Cha 07:00PM ET",23.278,"Bos"
"SG","Kentavious Caldwell-Pope",4600,"Ind@Det 07:30PM ET",23.240,"Det"
"SG","Rondae Hollis-Jefferson",4600,"LAC@Bkn 05:00PM ET",18.289,"Bkn"
"SF","Bojan Bogdanovic",4500,"LAC@Bkn 05:00PM ET",15.500,"Bkn"
"SG","Jeremy Lamb",4300,"Bos@Cha 07:00PM ET",22.179,"Cha"
"SG","J.J. Redick",4200,"LAC@Bkn 05:00PM ET",19.513,"LAC"
"C","Kelly Olynyk",4200,"Bos@Cha 07:00PM ET",20.432,"Bos"
"PG","Jeremy Lin",4000,"Bos@Cha 07:00PM ET",20.875,"Cha"
