"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","James Harden",10800,"LAL@Hou 08:00PM ET",52.250,"Hou"
"PF","Anthony Davis",10600,"NO@Chi 08:00PM ET",47.224,"NO"
"SF","Kawhi Leonard",8600,"SA@Atl 08:00PM ET",40.602,"SA"
"PF","Paul Millsap",8100,"SA@Atl 08:00PM ET",41.292,"Atl"
"C","Pau Gasol",7700,"NO@Chi 08:00PM ET",38.688,"Chi"
"SG","Jimmy Butler",7700,"NO@Chi 08:00PM ET",37.775,"Chi"
"C","Dwight Howard",7200,"LAL@Hou 08:00PM ET",35.382,"Hou"
"PF","LaMarcus Aldridge",6900,"SA@Atl 08:00PM ET",31.636,"SA"
"SG","Tyreke Evans",6900,"NO@Chi 08:00PM ET",33.550,"NO"
"C","Al Horford",6700,"SA@Atl 08:00PM ET",33.656,"Atl"
"PG","Jeff Teague",6700,"SA@Atl 08:00PM ET",31.917,"Atl"
"PG","Derrick Rose",6500,"NO@Chi 08:00PM ET",27.583,"Chi"
"PF","Ryan Anderson",6100,"NO@Chi 08:00PM ET",30.881,"NO"
"C","Tim Duncan",6000,"SA@Atl 08:00PM ET",28.432,"SA"
"PG","Ish Smith",6000,"NO@Chi 08:00PM ET",28.798,"NO"
"PF","Julius Randle",6000,"LAL@Hou 08:00PM ET",28.609,"LAL"
"SG","Kobe Bryant",5800,"LAL@Hou 08:00PM ET",27.688,"LAL"
"SF","Trevor Ariza",5500,"LAL@Hou 08:00PM ET",25.273,"Hou"
"C","Clint Capela",5500,"LAL@Hou 08:00PM ET",21.391,"Hou"
"PG","Tony Parker",5400,"SA@Atl 08:00PM ET",24.207,"SA"
"SG","Jordan Clarkson",5300,"LAL@Hou 08:00PM ET",24.841,"LAL"
"PF","Nikola Mirotic",5200,"NO@Chi 08:00PM ET",24.100,"Chi"
"SG","Eric Gordon",5000,"NO@Chi 08:00PM ET",25.739,"NO"
"SF","Kent Bazemore",5000,"SA@Atl 08:00PM ET",24.882,"Atl"
"PF","Terrence Jones",5000,"LAL@Hou 08:00PM ET",21.125,"Hou"
"PG","Dennis Schroder",5000,"SA@Atl 08:00PM ET",20.958,"Atl"
"PG","Lou Williams",4900,"LAL@Hou 08:00PM ET",22.333,"LAL"
"SF","Thabo Sefolosha",4900,"SA@Atl 08:00PM ET",20.863,"Atl"
"PG","Patrick Beverley",4800,"LAL@Hou 08:00PM ET",17.641,"Hou"
"PG","D'Angelo Russell",4800,"LAL@Hou 08:00PM ET",24.478,"LAL"
"SG","Kyle Korver",4700,"SA@Atl 08:00PM ET",20.943,"Atl"
"C","Joakim Noah",4700,"NO@Chi 08:00PM ET",21.632,"Chi"
"SG","Manu Ginobili",4500,"SA@Atl 08:00PM ET",21.934,"SA"
"PG","Jrue Holiday",4500,"NO@Chi 08:00PM ET",22.765,"NO"
"C","Roy Hibbert",4400,"LAL@Hou 08:00PM ET",22.326,"LAL"
"PF","Taj Gibson",4200,"NO@Chi 08:00PM ET",18.538,"Chi"
"SF","Marcus Thornton",4100,"LAL@Hou 08:00PM ET",19.595,"Hou"
"SF","Corey Brewer",4000,"LAL@Hou 08:00PM ET",15.457,"Hou"
"SG","Danny Green",4000,"SA@Atl 08:00PM ET",17.448,"SA"
"PF","David West",3800,"SA@Atl 08:00PM ET",13.604,"SA"
"PF","Donatas Motiejunas",3700,"LAL@Hou 08:00PM ET",2.083,"Hou"
"PF","Boris Diaw",3600,"SA@Atl 08:00PM ET",14.750,"SA"
"PG","Ty Lawson",3600,"LAL@Hou 08:00PM ET",17.364,"Hou"
"PG","Patty Mills",3600,"SA@Atl 08:00PM ET",17.083,"SA"
"PG","Aaron Brooks",3500,"NO@Chi 08:00PM ET",15.625,"Chi"
"PF","Brandon Bass",3500,"LAL@Hou 08:00PM ET",13.313,"LAL"
"SG","Nick Young",3400,"LAL@Hou 08:00PM ET",13.963,"LAL"
"SF","Doug McDermott",3400,"NO@Chi 08:00PM ET",13.288,"Chi"
"SF","Metta World Peace",3300,"LAL@Hou 08:00PM ET",12.015,"LAL"
"PG","Norris Cole",3300,"NO@Chi 08:00PM ET",12.300,"NO"
"C","Omer Asik",3300,"NO@Chi 08:00PM ET",7.950,"NO"
"PF","Larry Nance Jr.",3300,"LAL@Hou 08:00PM ET",10.403,"LAL"
"PG","Jason Terry",3200,"LAL@Hou 08:00PM ET",10.434,"Hou"
"PG","Kirk Hinrich",3200,"NO@Chi 08:00PM ET",11.818,"Chi"
"SF","Dante Cunningham",3200,"NO@Chi 08:00PM ET",13.273,"NO"
"PF","Mike Scott",3200,"SA@Atl 08:00PM ET",9.988,"Atl"
"C","Alexis Ajinca",3200,"NO@Chi 08:00PM ET",12.444,"NO"
"C","Mike Muscala",3200,"SA@Atl 08:00PM ET",11.306,"Atl"
"SF","Tony Snell",3200,"NO@Chi 08:00PM ET",12.250,"Chi"
"SF","Kyle Anderson",3200,"SA@Atl 08:00PM ET",8.740,"SA"
"SF","Jonathon Simmons",3100,"SA@Atl 08:00PM ET",10.225,"SA"
"PF","Matt Bonner",3000,"SA@Atl 08:00PM ET",4.313,"SA"
"SG","Rasual Butler",3000,"SA@Atl 08:00PM ET",7.342,"SA"
"SF","Mike Dunleavy",3000,"NO@Chi 08:00PM ET",0,"Chi"
"C","Kendrick Perkins",3000,"NO@Chi 08:00PM ET",9.667,"NO"
