"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Paul Millsap",8300,"Atl@Dal 09:30PM ET",41.443,"Atl"
"SG","Eric Bledsoe",8100,"Orl@Pho 09:00PM ET",40.845,"Pho"
"PF","Derrick Favors",7900,"NY@Uta 09:00PM ET",37.000,"Uta"
"PF","Kristaps Porzingis",7800,"NY@Uta 09:00PM ET",32.682,"NY"
"SF","Carmelo Anthony",7600,"NY@Uta 09:00PM ET",36.477,"NY"
"PG","Brandon Knight",7500,"Orl@Pho 09:00PM ET",38.239,"Pho"
"C","Nikola Vucevic",7000,"Orl@Pho 09:00PM ET",33.931,"Orl"
"SF","Gordon Hayward",7000,"NY@Uta 09:00PM ET",31.908,"Uta"
"C","Al Horford",6900,"Atl@Dal 09:30PM ET",33.909,"Atl"
"PF","Dirk Nowitzki",6800,"Atl@Dal 09:30PM ET",32.786,"Dal"
"PG","Jeff Teague",6800,"Atl@Dal 09:30PM ET",32.132,"Atl"
"SG","Victor Oladipo",6600,"Orl@Pho 09:00PM ET",32.197,"Orl"
"PG","Elfrid Payton",6600,"Orl@Pho 09:00PM ET",29.012,"Orl"
"PG","Deron Williams",6400,"Atl@Dal 09:30PM ET",31.071,"Dal"
"SF","Tobias Harris",6200,"Orl@Pho 09:00PM ET",30.679,"Orl"
"C","Rudy Gobert",6200,"NY@Uta 09:00PM ET",31.536,"Uta"
"C","Zaza Pachulia",6100,"Atl@Dal 09:30PM ET",28.670,"Dal"
"SF","Evan Fournier",5700,"Orl@Pho 09:00PM ET",26.250,"Orl"
"SG","Alec Burks",5400,"NY@Uta 09:00PM ET",25.105,"Uta"
"PF","Markieff Morris",5200,"Orl@Pho 09:00PM ET",21.847,"Pho"
"SG","Wesley Matthews",5000,"Atl@Dal 09:30PM ET",22.188,"Dal"
"PG","Dennis Schroder",5000,"Atl@Dal 09:30PM ET",21.477,"Atl"
"SF","Thabo Sefolosha",4900,"Atl@Dal 09:30PM ET",20.778,"Atl"
"SF","Kent Bazemore",4900,"Atl@Dal 09:30PM ET",24.338,"Atl"
"SG","Rodney Hood",4900,"NY@Uta 09:00PM ET",22.403,"Uta"
"PF","Trevor Booker",4800,"NY@Uta 09:00PM ET",16.875,"Uta"
"PF","Jon Leuer",4800,"Orl@Pho 09:00PM ET",18.580,"Pho"
"SF","T.J. Warren",4700,"Orl@Pho 09:00PM ET",18.738,"Pho"
"C","Alex Len",4600,"Orl@Pho 09:00PM ET",16.227,"Pho"
"SG","Kyle Korver",4500,"Atl@Dal 09:30PM ET",21.013,"Atl"
"PG","Raymond Felton",4500,"Atl@Dal 09:30PM ET",19.125,"Dal"
"SG","Arron Afflalo",4400,"NY@Uta 09:00PM ET",21.250,"NY"
"C","Tyson Chandler",4300,"Orl@Pho 09:00PM ET",19.133,"Pho"
"PG","Jose Calderon",4200,"NY@Uta 09:00PM ET",19.193,"NY"
"SF","Chandler Parsons",4100,"Atl@Dal 09:30PM ET",14.950,"Dal"
"PF","Dwight Powell",4100,"Atl@Dal 09:30PM ET",21.000,"Dal"
"PG","Trey Burke",4100,"NY@Uta 09:00PM ET",19.079,"Uta"
"SF","Mirza Teletovic",4100,"Orl@Pho 09:00PM ET",16.011,"Pho"
"SF","P.J. Tucker",4000,"Orl@Pho 09:00PM ET",15.977,"Pho"
"PF","Andrew Nicholson",4000,"Orl@Pho 09:00PM ET",16.667,"Orl"
"C","Robin Lopez",3800,"NY@Uta 09:00PM ET",19.080,"NY"
"SF","Aaron Gordon",3800,"Orl@Pho 09:00PM ET",18.888,"Orl"
"SG","Langston Galloway",3700,"NY@Uta 09:00PM ET",19.045,"NY"
"PG","Devin Harris",3300,"Atl@Dal 09:30PM ET",15.663,"Dal"
"PF","Channing Frye",3300,"Orl@Pho 09:00PM ET",12.141,"Orl"
"PG","J.J. Barea",3300,"Atl@Dal 09:30PM ET",17.391,"Dal"
"PF","Charlie Villanueva",3200,"Atl@Dal 09:30PM ET",11.838,"Dal"
"PF","Jason Smith",3200,"Orl@Pho 09:00PM ET",11.266,"Orl"
"PF","Mike Scott",3200,"Atl@Dal 09:30PM ET",9.988,"Atl"
"PF","Kevin Seraphin",3200,"NY@Uta 09:00PM ET",11.542,"NY"
"C","Dewayne Dedmon",3200,"Orl@Pho 09:00PM ET",13.679,"Orl"
"PG","Raul Neto",3200,"NY@Uta 09:00PM ET",11.645,"Uta"
"SG","Devin Booker",3200,"Orl@Pho 09:00PM ET",10.014,"Pho"
"PG","C.J. Watson",3100,"Orl@Pho 09:00PM ET",13.875,"Orl"
"SF","Lance Thomas",3100,"NY@Uta 09:00PM ET",10.568,"NY"
"C","Jeff Withey",3100,"NY@Uta 09:00PM ET",7.227,"Uta"
"SF","Derrick Williams",3100,"NY@Uta 09:00PM ET",12.381,"NY"
"C","Mike Muscala",3100,"Atl@Dal 09:30PM ET",10.641,"Atl"
"PG","Jerian Grant",3100,"NY@Uta 09:00PM ET",12.898,"NY"
"PG","Shabazz Napier",3100,"Orl@Pho 09:00PM ET",9.425,"Orl"
"SG","Joe Ingles",3100,"NY@Uta 09:00PM ET",7.684,"Uta"
"PF","Trey Lyles",3100,"NY@Uta 09:00PM ET",5.838,"Uta"
"PF","Louis Amundson",3000,"NY@Uta 09:00PM ET",6.150,"NY"
"PG","Ronnie Price",3000,"Orl@Pho 09:00PM ET",8.438,"Pho"
"SG","Sasha Vujacic",3000,"NY@Uta 09:00PM ET",9.875,"NY"
"SG","Sonny Weems",3000,"Orl@Pho 09:00PM ET",4.500,"Pho"
"C","JaVale McGee",3000,"Atl@Dal 09:30PM ET",8.417,"Dal"
"SG","Elijah Millsap",3000,"NY@Uta 09:00PM ET",4.556,"Uta"
"SF","Jeremy Evans",3000,"Atl@Dal 09:30PM ET",5.859,"Dal"
"C","Tiago Splitter",3000,"Atl@Dal 09:30PM ET",12.339,"Atl"
"SG","Justin Holiday",3000,"Atl@Dal 09:30PM ET",8.196,"Atl"
"SF","Chris Johnson",3000,"NY@Uta 09:00PM ET",3.071,"Uta"
"PG","Shelvin Mack",3000,"Atl@Dal 09:30PM ET",8.528,"Atl"
"PF","Kyle O'Quinn",3000,"NY@Uta 09:00PM ET",13.074,"NY"
"SG","Lamar Patterson",3000,"Atl@Dal 09:30PM ET",8.125,"Atl"
"SG","John Jenkins",3000,"Atl@Dal 09:30PM ET",6.400,"Dal"
"PF","Cory Jefferson",3000,"Orl@Pho 09:00PM ET",4.500,"Pho"
"C","Tibor Pleiss",3000,"NY@Uta 09:00PM ET",1.688,"Uta"
"SG","Tim Hardaway Jr.",3000,"Atl@Dal 09:30PM ET",5.438,"Atl"
"SF","Devyn Marble",3000,"Orl@Pho 09:00PM ET",0.950,"Orl"
"C","Salah Mejri",3000,"Atl@Dal 09:30PM ET",2.350,"Dal"
"PG","Bryce Cotton",3000,"Orl@Pho 09:00PM ET",0,"Pho"
"SF","Justin Anderson",3000,"Atl@Dal 09:30PM ET",4.313,"Dal"
"SG","Archie Goodwin",3000,"Orl@Pho 09:00PM ET",8.455,"Pho"
"SF","Cleanthony Early",3000,"NY@Uta 09:00PM ET",2.214,"NY"
"PG","Dante Exum",3000,"NY@Uta 09:00PM ET",0,"Uta"
"C","Walter Tavares",3000,"Atl@Dal 09:30PM ET",1.500,"Atl"
"SG","Mario Hezonja",3000,"Orl@Pho 09:00PM ET",6.447,"Orl"
